Ticker: r
Buy: 1985.03.19 100 shares @ 11.1111111, total shares = 100, cash = -1119.1111111
Buy: 1985.05.02 100 shares @ 9.8888889, total shares = 200, cash = -2116.0000000
Sell: 1985.05.13 100 shares @ 11.2777778, total shares = 100, cash = -996.2222222
Sell: 1985.05.20 100 shares @ 11.6955556, total shares = 0, cash = 165.3333333
Buy: 1986.07.09 100 shares @ 17.7466667, total shares = 100, cash = -1617.3333333
Buy: 1986.07.25 100 shares @ 18.0000000, total shares = 200, cash = -3425.3333333
Buy: 1986.07.29 100 shares @ 17.3333333, total shares = 300, cash = -5166.6666667
Buy: 1986.08.05 100 shares @ 17.2533333, total shares = 400, cash = -6900.0000000
Buy: 1986.09.12 100 shares @ 17.3333333, total shares = 500, cash = -8641.3333333
Sell: 1986.10.03 100 shares @ 19.8733333, total shares = 400, cash = -6662.0000000
Sell: 1986.10.13 100 shares @ 21.9600000, total shares = 300, cash = -4474.0000000
Sell: 1986.10.29 100 shares @ 21.9200000, total shares = 200, cash = -2290.0000000
Sell: 1986.11.05 100 shares @ 22.5833333, total shares = 100, cash = -39.6666667
Sell: 1986.11.07 100 shares @ 23.0000000, total shares = 0, cash = 2252.3333333
Buy: 1987.04.14 100 shares @ 25.3333333, total shares = 100, cash = -289.0000000
Buy: 1987.04.15 100 shares @ 24.7466667, total shares = 200, cash = -2771.6666667
Buy: 1987.05.20 100 shares @ 24.0000000, total shares = 300, cash = -5179.6666667
Sell: 1987.06.11 100 shares @ 26.7066667, total shares = 200, cash = -2517.0000000
Sell: 1987.06.25 100 shares @ 25.5800000, total shares = 100, cash = 33.0000000
Buy: 1987.07.23 100 shares @ 23.5866667, total shares = 200, cash = -2333.6666667
Sell: 1987.07.30 100 shares @ 24.9600000, total shares = 100, cash = 154.3333333
Sell: 1987.08.12 100 shares @ 26.5833333, total shares = 0, cash = 2804.6666667
Buy: 1987.09.08 100 shares @ 24.8333333, total shares = 100, cash = 313.3333333
Buy: 1987.10.07 100 shares @ 24.0800000, total shares = 200, cash = -2102.6666667
Buy: 1987.10.16 100 shares @ 21.1666667, total shares = 300, cash = -4227.3333333
Buy: 1987.10.21 100 shares @ 24.8800000, total shares = 400, cash = -6723.3333333
Buy: 1987.10.27 100 shares @ 23.0000000, total shares = 500, cash = -9031.3333333
Buy: 1987.11.10 100 shares @ 23.5000000, total shares = 600, cash = -11389.3333333
Sell: 1987.11.12 100 shares @ 25.6250000, total shares = 500, cash = -8834.8333333
Buy: 1987.12.01 100 shares @ 21.2500000, total shares = 600, cash = -10967.8333333
Buy: 1987.12.04 100 shares @ 21.5000000, total shares = 700, cash = -13125.8333333
Sell: 1987.12.17 100 shares @ 24.3150000, total shares = 600, cash = -10702.3333333
Sell: 1987.12.18 100 shares @ 25.5000000, total shares = 500, cash = -8160.3333333
Sell: 1988.01.05 100 shares @ 27.2500000, total shares = 400, cash = -5443.3333333
Sell: 1988.01.11 100 shares @ 25.8750000, total shares = 300, cash = -2863.8333333
Sell: 1988.01.15 100 shares @ 25.4350000, total shares = 200, cash = -328.3333333
Sell: 1988.01.21 100 shares @ 25.0650000, total shares = 100, cash = 2170.1666667
Sell: 1988.02.10 100 shares @ 27.5650000, total shares = 0, cash = 4918.6666667
Buy: 1988.03.31 100 shares @ 29.0000000, total shares = 100, cash = 2010.6666667
Buy: 1988.04.15 100 shares @ 29.5000000, total shares = 200, cash = -947.3333333
Buy: 1988.05.12 100 shares @ 26.6200000, total shares = 300, cash = -3617.3333333
Buy: 1988.05.18 100 shares @ 26.5000000, total shares = 400, cash = -6275.3333333
Buy: 1988.06.17 100 shares @ 27.5000000, total shares = 500, cash = -9033.3333333
Buy: 1988.06.20 100 shares @ 26.5000000, total shares = 600, cash = -11691.3333333
Sell: 1988.06.23 100 shares @ 28.3750000, total shares = 500, cash = -8861.8333333
Buy: 1988.06.28 100 shares @ 27.3800000, total shares = 600, cash = -11607.8333333
Sell: 1988.07.01 100 shares @ 28.5650000, total shares = 500, cash = -8759.3333333
Buy: 1988.08.18 100 shares @ 23.2500000, total shares = 600, cash = -11092.3333333
Buy: 1988.09.15 100 shares @ 24.7500000, total shares = 700, cash = -13575.3333333
Sell: 1988.10.04 100 shares @ 25.5000000, total shares = 600, cash = -11033.3333333
Sell: 1988.10.05 100 shares @ 26.0600000, total shares = 500, cash = -8435.3333333
Sell: 1988.10.06 100 shares @ 25.6900000, total shares = 400, cash = -5874.3333333
Sell: 1988.10.24 100 shares @ 24.9400000, total shares = 300, cash = -3388.3333333
Sell: 1988.11.02 100 shares @ 25.1850000, total shares = 200, cash = -877.8333333
Buy: 1988.11.17 100 shares @ 22.6200000, total shares = 300, cash = -3147.8333333
Sell: 1988.12.07 100 shares @ 24.6250000, total shares = 200, cash = -693.3333333
Sell: 1988.12.16 100 shares @ 24.5600000, total shares = 100, cash = 1754.6666667
Sell: 1988.12.21 100 shares @ 24.9400000, total shares = 0, cash = 4240.6666667
Buy: 1989.05.24 100 shares @ 23.5000000, total shares = 100, cash = 1882.6666667
Sell: 1989.07.06 100 shares @ 25.7500000, total shares = 0, cash = 4449.6666667
Buy: 1989.09.15 100 shares @ 27.1200000, total shares = 100, cash = 1729.6666667
Buy: 1989.10.09 100 shares @ 27.3800000, total shares = 200, cash = -1016.3333333
Buy: 1989.10.16 100 shares @ 23.0000000, total shares = 300, cash = -3324.3333333
Buy: 1989.10.20 100 shares @ 22.7500000, total shares = 400, cash = -5607.3333333
Buy: 1989.12.19 100 shares @ 19.8800000, total shares = 500, cash = -7603.3333333
Sell: 1990.03.02 100 shares @ 19.7500000, total shares = 400, cash = -5636.3333333
Sell: 1990.04.12 100 shares @ 19.6200000, total shares = 300, cash = -3682.3333333
Sell: 1990.04.16 100 shares @ 19.8150000, total shares = 200, cash = -1708.8333333
Sell: 1990.05.11 100 shares @ 21.0650000, total shares = 100, cash = 389.6666667
Sell: 1990.06.25 100 shares @ 21.4350000, total shares = 0, cash = 2525.1666667
Buy: 1990.08.01 100 shares @ 20.8800000, total shares = 100, cash = 429.1666667
Buy: 1990.08.03 100 shares @ 20.2500000, total shares = 200, cash = -1603.8333333
Buy: 1990.08.06 100 shares @ 18.5000000, total shares = 300, cash = -3461.8333333
Buy: 1990.08.21 100 shares @ 17.5000000, total shares = 400, cash = -5219.8333333
Buy: 1990.08.22 100 shares @ 16.7500000, total shares = 500, cash = -6902.8333333
Buy: 1990.09.12 100 shares @ 15.6200000, total shares = 600, cash = -8472.8333333
Buy: 1990.09.14 100 shares @ 14.7500000, total shares = 700, cash = -9955.8333333
Buy: 1990.09.25 100 shares @ 13.6200000, total shares = 800, cash = -11325.8333333
Buy: 1990.09.28 100 shares @ 13.0000000, total shares = 900, cash = -12633.8333333
Buy: 1990.10.16 100 shares @ 13.5000000, total shares = 1000, cash = -13991.8333333
Buy: 1990.10.18 100 shares @ 12.7500000, total shares = 1100, cash = -15274.8333333
Sell: 1990.12.03 100 shares @ 14.3800000, total shares = 1000, cash = -13844.8333333
Sell: 1990.12.21 100 shares @ 15.5600000, total shares = 900, cash = -12296.8333333
Sell: 1991.01.03 100 shares @ 14.7500000, total shares = 800, cash = -10829.8333333
Sell: 1991.01.17 100 shares @ 15.1200000, total shares = 700, cash = -9325.8333333
Sell: 1991.01.22 100 shares @ 15.5000000, total shares = 600, cash = -7783.8333333
Sell: 1991.02.05 100 shares @ 17.5000000, total shares = 500, cash = -6041.8333333
Sell: 1991.02.07 100 shares @ 16.7500000, total shares = 400, cash = -4374.8333333
Sell: 1991.02.08 100 shares @ 17.4350000, total shares = 300, cash = -2639.3333333
Sell: 1991.02.13 100 shares @ 18.1200000, total shares = 200, cash = -835.3333333
Sell: 1991.02.25 100 shares @ 18.6250000, total shares = 100, cash = 1019.1666667
Sell: 1991.03.06 100 shares @ 19.5000000, total shares = 0, cash = 2961.1666667
Buy: 1991.04.10 100 shares @ 16.6200000, total shares = 100, cash = 1291.1666667
Buy: 1991.04.23 100 shares @ 18.0000000, total shares = 200, cash = -516.8333333
Sell: 1991.04.24 100 shares @ 18.5000000, total shares = 100, cash = 1325.1666667
Buy: 1991.04.30 100 shares @ 17.6200000, total shares = 200, cash = -444.8333333
Sell: 1991.05.02 100 shares @ 18.5000000, total shares = 100, cash = 1397.1666667
Sell: 1991.05.09 100 shares @ 18.8150000, total shares = 0, cash = 3270.6666667
Buy: 1991.07.24 100 shares @ 17.7500000, total shares = 100, cash = 1487.6666667
Buy: 1991.07.30 100 shares @ 17.8800000, total shares = 200, cash = -308.3333333
Buy: 1991.08.23 100 shares @ 17.5000000, total shares = 300, cash = -2066.3333333
Sell: 1991.10.08 100 shares @ 18.2500000, total shares = 200, cash = -249.3333333
Sell: 1991.10.11 100 shares @ 18.8800000, total shares = 100, cash = 1630.6666667
Sell: 1991.10.14 100 shares @ 19.0600000, total shares = 0, cash = 3528.6666667
Buy: 1991.11.18 100 shares @ 17.7500000, total shares = 100, cash = 1745.6666667
Sell: 1992.01.14 100 shares @ 21.2500000, total shares = 0, cash = 3862.6666667
Buy: 1992.04.09 100 shares @ 22.5000000, total shares = 100, cash = 1604.6666667
Sell: 1992.04.15 100 shares @ 25.2500000, total shares = 0, cash = 4121.6666667
Buy: 1992.08.13 100 shares @ 23.7500000, total shares = 100, cash = 1738.6666667
Sell: 1992.09.14 100 shares @ 25.1900000, total shares = 0, cash = 4249.6666667
Buy: 1992.09.23 100 shares @ 24.2500000, total shares = 100, cash = 1816.6666667
Buy: 1992.09.28 100 shares @ 23.2500000, total shares = 200, cash = -516.3333333
